PSTW ID,Name,Website,Description,Geographical extent,Geographical coverage (country),NUTS 2021,Responsible organisation,Responsible organisation category,Functions of Government (COFOG level I),Functions of Government (COFOG level II), Status,Start Year,End Year,Process type,Application type,Cross Border,Cross Sector,Primary Technology,Secondary Technology,Interaction,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminated the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,AI Classification (I),AI Classification Subdomain (II) (main),AI Classification Subdomain (II) (Other I),AI Classification Subdomain (II) (Other II),AI Classification Subdomain (II) (Other III),AI Keywords,Collaboration type,Procurement (EU Model Contractual AI),Funding source,GovTech,Company name or GovTech ID,GovTech Initiative + ID,Open components in input,Open components in output,Stories link,Date updated,Unnamed: 56
PSTW-2627,RehaPlus: AI-Powered Identification of Complex Rehabilitation Cases in Public Health Insurance,https://jahresbericht.bgetem.de/2021/titelstories/computer-analysiert-mensch-entscheidet,"The statutory accident insurer BG ETEM introduced RehaPlus to improve the early identification of complex rehabilitation cases requiring intensive case management. Previously, such cases were often detected late through manual reminders, leading to delayed interventions, higher treatment costs and longer recovery times. RehaPlus applies explainable machine learning models to continuously monitor case data and flag potential high-risk cases weeks earlier than before. This has replaced the outdated manual reminder process with proactive, automated monitoring, while ensuring case officers remain in control of final decisions. The result is improved efficiency, fewer documents to screen or complete, earlier interventions, and better recovery outcomes for insured workers. Since going live in 2021, RehaPlus has delivered high user satisfaction, with more than 90 per cent of staff rating it positively for improving efficiency and quality of work. Built with open-source components such as Python, XGBoost, Scikit-learn, Pandas and Docker, the solution is lightweight, explainable, cost-efficient and fully compliant with GDPR. Its modular architecture makes it portable across infrastructures and scalable to other social accident insurers, with the first reuse planned for 2026. By combining automation with transparency and human oversight, RehaPlus demonstrates how AI can create both internal efficiency gains (G2G) and societal value (G2C) through better rehabilitation outcomes.",National,Germany,DE,Berufsgenossenschaft Energie Textil Elektro Medienerzeugnisse (BG ETEM),Central Government,Social protection,Social protection n.e.c.,Implemented,2021,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2B,x,,x,x,x,x,,,,,,,,,,,,,Self-reporting tool,Learning,Machine learning,,,,,,,,,,,"https://www.python.org/
https://pandas.pydata.org/;
https://kedro.org/;
https://scikit-learn.org/;
https://xgboost.ai/;
https://www.docker.com/;
https://greatexpectations.io/",,,15/09/2025,
PSTW-2628,AI-Based Virtual Assistant for Faster and Reliable Businesses Support,https://www.bgetem.de/presse-aktuelles/pressemeldungen/2025/bg-etem-setzt-auf-ki-anwendung-zur-automatisierung-der-verarbeitung-von-gewerbemeldungen#,"The statutory accident insurer BG ETEM developed a virtual assistant (MeinAssistent) to support its “Members and Fees” department, which has seen a sharp increase in inquiries from businesses. Around 70 per cent of queries concern recurring issues such as registration or insurance fees, which were previously handled manually, causing long response times and high workloads. The assistant provides a three-tiered service: immediate answers from a legally verified FAQ catalogue, context-specific responses generated from official ETEM documents with clear source references, and transparent escalation to staff if no automated answer is possible. This ensures businesses receive reliable, accurate, and timely support while keeping human oversight for complex cases. Early results from the pilot show clear benefits: 24/7 accessibility for businesses, faster responses, reduced interruptions for staff, and high trust thanks to transparent answer paths. Pilot users have praised the clarity, reliability, and seamless handover to human officers. Built with open-source components including Python, LangChain, Hugging Face models, FastAPI, and Docker, the system is modular, containerised, and API-based, making it cost-efficient, portable, and adaptable to other contexts. Although still in pilot, the solution is being integrated into the MeineETEM portal and is designed for transfer to other public sector organisations by connecting it to their own FAQs and documents. By combining automation, explainability, and scalability, MeinAssistent strengthens efficiency and accessibility in public service delivery while reducing manual workload for staff.",National,Germany,DE,Berufsgenossenschaft Energie Textil Elektro Medienerzeugnisse (BG ETEM),Central Government,Social protection,Social protection n.e.c.,Pilot,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2B,x,,x,x,x,x,,,,,,,,,,,,,Self-reporting tool,Learning,Machine learning,,,,chatbot,,,,,,,,,,15/09/2025,
PSTW-2630,Digital Service for Obligated Citizens to Declare the Cleaning of Their Properties to Prevent Fire Risks or Rapid Fire Spread,https://interoperable-europe.ec.europa.eu/system/files/webform/test_public_sector_tech_watch/2838/egheiridio-hrisis-ypalliloy-pyrosbestikis.pdf,"The digital platform akatharista.gov.gr is an innovative tool designed to prevent and manage forest and grassland fires in Greece by monitoring the cleaning status of privately owned plots, a key preventive measure against fire outbreaks. The system enables citizens to declare the fire-prevention cleaning activities they have undertaken on their plots each season and allows them to report hazardous plots to supervisory authorities, supporting proactive intervention. For public administration, the platform consolidates and organises critical data—including plot location, ownership, cleaning history, and reported risks—allowing central and local authorities, such as the Fire Service and municipalities, to monitor compliance, assess risk, plan targeted inspections, and take timely preventive action. Since its launch in 2024, over 1.5 million cleaning declarations and 20,000 citizen reports have been processed, resulting in more than 18,000 on-site inspections and more efficient resource deployment. Technologically, the platform integrates with national databases, supports real-time GIS visualisation of plots, and provides automated notifications to citizens. Its interoperable and user-friendly design ensures accessibility, traceability, and transparency, while statistical analysis capabilities inform policy decisions on fire prevention and civil protection. Akatharista.gov.gr exemplifies a digital governance solution that enhances public participation, strengthens accountability, and safeguards human life, property, and ecosystems.",National,Greece,EL,Ministry of Climate Crisis and Civil Protection / Hellenic Fire Service / Fire Service Headquarters / Department of Preventive Fire Protection,Central Government,Public order and safety,Fire-protection services ,Implemented,2024,,Internal management,Supporting inspection processes,No,No,Other,,G2B,x,,x,x,x,x,,,,,,,,,,,,,Self-reporting tool,,,,,,,,,,,,,,,,15/09/2025,
PSTW-2631,ChatAmsterdam - an internally developed generative AI chatbot tailored to the municipality's needs and values to support civil servants in their daily activities,https://www.amsterdamai.com/en/nieuws/amsterdam-launches-chatamsterdam-its-own-ai-assistant-for-civil-servants,"ChatAmsterdam is an internally developed generative AI assistant designed to support civil servants in the Municipality of Amsterdam. Developed through a six-month research pilot involving over 800 employees, the application provides practical assistance with daily tasks while promoting AI literacy, ensuring digital security, and safeguarding sensitive municipal data. ChatAmsterdam operates within a secure, vendor-neutral environment, prioritising data ownership, privacy, transparency, and compliance with Dutch and European regulations. The platform enables integration with internal data sources, allowing staff to pose domain-specific questions and receive contextually relevant answers. By providing a safe alternative to commercial generative AI tools, ChatAmsterdam reduces shadow use of external platforms and facilitates responsible AI adoption. Its flexible architecture allows future expansion, including additional functionalities, AI-assisted workflows, and integration of new datasets, while ensuring alignment with organisational values and operational goals. The application reflects a user-centred design approach, incorporating continuous feedback, training, and co-creation with staff to maximise usability, trust, and impact.",Local,Netherlands,NL,Municipality of Amsterdam,Local Government,General public services,General public services n.e.c.,Implemented,2025,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,Self-reporting tool,Learning,Machine learning,Generative AI,,,chatbot,,,,,,,,,,15/09/2025,
PSTW-2632,AI tool for depersonalising sensitive data at the State Consumer Rights Protection Authority (SCRPA),https://interoperable-europe.ec.europa.eu/collection/public-sector-tech-watch/2025-best-cases-award,"The personal data depersonalisation AI tool is an internally developed solution designed to enhance data privacy, security, and regulatory compliance. By automatically identifying, masking, encrypting, or removing Personally Identifiable Information (PII), the tool ensures that datasets used for development, testing, and analysis are fully anonymised, embedding a “privacy by design” culture across the organisation. This automation has reduced manual depersonalisation time from several hours to under 15 minutes, achieving a 95% efficiency gain, while maintaining 99.8% accuracy in PII detection. The solution is fully interoperable with existing internal systems, integrates seamlessly into data pipelines, and complies with GDPR, CCPA, and organisational policies. Its advanced Natural Language Processing (NLP) and Machine Learning (ML) capabilities allow context-aware recognition of PII in structured and unstructured data, outperforming traditional rule-based methods. The tool has delivered measurable impact, including an 85% reduction in data breaches involving unauthorised PII exposure, significant labour cost savings, and increased user confidence. By providing a reliable, scalable, and user-friendly solution, the AI tool strengthens operational efficiency, data integrity, and transparency, allowing secure data sharing with internal teams and external partners without compromising privacy.",Regional ,Lithuania,LT,State Consumer Rights Protection Authority (SCRPA) ,Regional Government,General public services,General public services n.e.c.,Pilot,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,Self-reporting tool,Learning,Machine learning,Natural language processing,,,,,,,,,,,,,15/09/2025,
PSTW-2633,Virtual Market Assistant for the State Consumer Rights Protection Authority (SCRPA),https://play.google.com/store/apps/details?id=com.vvtat.vvtat,"The Virtual Market Assistant is an innovative mobile application designed to enhance consumer safety by providing instant access to information on officially listed hazardous products and enabling users to report new risks. By connecting to verified databases such as the EU Safety Gate (RAPEX) and integrating user-submitted reports, the app offers proactive protection and empowers citizens to participate directly in market surveillance. It allows barcode scanning for instant product safety checks and simplifies the submission of detailed hazard reports, including photos and descriptions, which are standardised for seamless use by regulatory authorities. Technologically, the app leverages familiar mobile, cloud, and database infrastructure, providing a scalable and user-friendly solution without requiring specialised equipment. It is designed with full interoperability in mind, adhering to the European Interoperability Framework at legal, organisational, semantic, and technical levels, ensuring seamless integration with national and transnational market surveillance systems. By increasing transparency, accountability, and public engagement, the Virtual Market Assistant strengthens trust between citizens and regulatory authorities, streamlines hazard reporting, and accelerates the removal of unsafe products from the market.",Regional,Lithuania,LT,State Consumer Rights Protection Authority (SCRPA) ,Regional Government,General public services,General public services n.e.c.,Implemented,2025,,Public services and engagement,Data Sharing Management,No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,Self-reporting tool,Learning,Machine learning,,,,,,,,,,,,,,15/09/2025,
PSTW-2634,DONNA: A digital assistant for IT operations,https://infolab.nemzetilabor.hu/en/news/donna-digital-assistant-it-operations-rag-based-agentic-workflow,"DONNA is a digital assistant designed to enhance IT operations within public administration, targeting critical services such as vehicle registration and identity card issuance. Built on open-source AI generative models and service architectures, DONNA integrates with tools like JIRA and Confluence to consolidate fragmented documentation and historical incident data into actionable, contextually enriched recommendations. By doing so, it accelerates incident resolution, reduces downtime, and maintains service reliability for citizen-facing digital services. The solution leverages a modular, containerised architecture (Kubernetes/Kubeflow) with components including vLLM, Milvus, LangChain, LangGraph, Langfuse, and OpenWebUI, ensuring scalability, technical interoperability, and data sovereignty. Designed following the European Interoperability Framework (EIF), DONNA aligns with legal, organisational, semantic, and technical interoperability principles, supporting seamless integration with internal IT workflows and potential future cross-government systems. By using fully self-hosted, open-source technologies, DONNA enhances transparency, auditability, and independence from proprietary vendors, while a user-centred development process involving IT operators ensured high adoption, usability, and alignment with operational realities.",National,Hungary,HU,Idomsot Zrt.,Central Government,General public services,General public services n.e.c.,Pilot,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,Self-reporting tool,Learning,Machine learning,Generative AI,,,virtual assistant,,,,,,,"https://docs.vllm.ai/en/stable/
https://milvus.io/ vector store 
https://www.langchain.com/about
https://www.langchain.com/langgraph
https://langfuse.com/  
https://openwebui.com/?ref=listmyai
https://kubernetes.io/ 
https://www.kubeflow.org/",,,15/09/2025,
PSTW-2635,AI agent for Prague 6: Simplifying communication between the office and citizens,https://www.citymind.tech/en/case-studies/prague6-oict,"The Citymind chatbot was implemented by Prague 6 to improve citizen-office communication and streamline access to public services. Its primary function is to provide citizens with a quick, intuitive interface to find information—covering topics such as passport issuance, ID cards, and local police services—while freeing officials from answering routine inquiries. The project, funded under the Horizon Europe CommuniCity programme, combines co-creation with citizens and municipal staff to ensure a user-centred design, resulting in a high user satisfaction rating of 4.05 out of 5. Technologically, the solution is scalable, secure, and user-friendly, integrating seamlessly into municipal websites with minimal technical effort. Its structured data processing ensures semantic interoperability, translating complex administrative content into plain, human-like language. The chatbot also generates analytical reports on common queries, supporting internal service improvements and enhancing organisational efficiency. The innovation process involved participatory development, iterative testing, and a replicability guide to support adoption by other municipalities. Citymind is commercially managed, ensuring ongoing support and continuous development, while being aligned with European interoperability and accessibility principles.",Local,Czechia,CZ,"KITT6, příspěvková organizace",Local Government,General public services,General public services n.e.c.,Implemented,2025,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,Self-reporting tool,Learning,Machine learning,,,,chatbot,GovTech,,,Yes,Citymind solutions s.r.o.,,,,,15/09/2025,
PSTW-2636,AI Literacy in Action: An Interactive and Reusable Prompting Workbook for Public Servants,https://g.co/gemini/share/08cbc5c9071f,"The AI Prompting Workbook was developed to rapidly build AI literacy among public administration employees, addressing the limitations of passive training formats and fulfilling capacity-building requirements under the EU AI Act. The interactive, self-paced workbook allows users to engage directly with an internal AI model (“LinzGPT”), experimenting with prompts, executing them in real time, and receiving instant feedback across 50 practical exercises. Internal metrics—voluntary enrolment, course completion, and certificate issuance—demonstrate high uptake and effectiveness, while qualitative feedback from the “AI Pioneers” focus group confirms its practical relevance and engaging format. Technologically, the solution leverages a lightweight web application and structured content (JSON-based exercises), enabling semantic, organisational, technical, and legal interoperability. It is designed for easy scaling and reuse, both internally and as a public Google Gemini Canvas, allowing other administrations to customise or expand the workbook without programming knowledge. The implementation followed a user-centric, agile process, combining in-house prototyping, co-creation with internal focus groups, and rigorous IT validation, with no external procurement required. The dual-delivery model ensures secure internal deployment while maximising public value and societal impact, supporting AI capacity-building and fostering a broader culture of digital empowerment across Europe.",Local,Austria,AT,Magistrat der Landeshauptstadt Linz,Local Government,General public services,General public services n.e.c.,Implemented,2025,,Public services and engagement,Data Sharing Management,No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,Self-reporting tool,Learning,Machine learning,,,,,,,,,,,,"EN: https://g.co/gemini/share/08cbc5c9071f
GE: https://g.co/gemini/share/7097b73459dd ",,15/09/2025,
PSTW-2637,Regional Digital Twin Platform for Climate Change,https://www.list.lu/en/news/list-secures-funding-for-three-esa-projects-to-advance-development-of-digital-twins-of-the-earth/?no_cache=1&cHash=137a7e2ba280543710ec89f0801639a1,"The Regional Digital Twin for Climate Change provides a data-driven platform for climate risk assessment, simulation, and decision support, addressing gaps in integrating EU-scale climate data into local and sector-specific operations. It enhances resilience across public services and critical sectors—energy, finance, agriculture, and emergency planning—by combining diverse datasets, AI and physical simulations, and a climate services marketplace. The platform also federates stakeholders, fostering collaboration and trust. Pilot users in Luxembourg report improved risk understanding, faster and more informed decisions, and strengthened public and financial resilience. Technologically, it integrates satellite, in-situ, topographic, and regional data via AI and HPC-powered cloud solutions, offering real-time insights and multi-sectoral services. Designed according to the European Interoperability Framework (EIF), the platform ensures legal, organisational, semantic, and technical interoperability. Transparency is enhanced through dashboards, open data where possible, and workshops for stakeholders. Its modular architecture allows scalable deployment across sectors, regions, and administrative levels, with the potential for broader adoption by other administrations. The project follows a user-centred innovation process, beginning with a Proof of Concept by Thales Alenia Space, LIST, and PwC, incorporating feedback from ministries and critical infrastructure operators to ensure practical, actionable outcomes.",National,Luxembourg,LU,Luxembourg Space Agency (LSA),Central Government,Economic affairs,Economic affairs n.e.c,In development,2025,,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Digital Twins,,G2C,x,,x,x,x,x,,,,,,,,,,,,,Self-reporting tool,,,,,,,,,,,,,,,,15/09/2025,
PSTW-2638,Artificial Intelligence Services Oriented to Legal Documents,https://www.mjusticia.gob.es/es/JusticiaEspana/ProyectosTransformacionJusticia/Documents/Spains_Policy_on_the_use_of_AI_in_the_Justice_Administration.pdf,"The Ministry of the Presidency, Justice, and Relations with the Courts has harnessed Artificial Intelligence to manage vast volumes of unstructured legal information and streamline tens of thousands of procedures each year. AI tools support civil servants, judges, magistrates, and prosecutors by extracting and linking relevant information, generating timelines, summarising documents, and assisting with rule-based processes. A key initiative is the automatic transcription of hearings and trials, achieving an estimated 60% time saving, with over 3.28 million transcriptions completed to date, saving more than one million hours of work. AI services also produce plain-language and easy-to-read documents, enhancing accessibility for citizens, including those with functional or intellectual difficulties. The AI infrastructure combines natural language processing, supervised neural networks, Transformer-based models, and GPU-enabled servers, deployed within a secure microservices architecture. Services are accessible via portals such as ADIA and Carpeta Justicia and include anonymisation, document summarisation, intelligent assistants, and translation tools. These tools are integrated across multiple internal applications and are already being reused by other administrations, demonstrating scalability and interoperability. Development followed a user-centred, iterative process involving legal experts, linguists, programmers, and administrative staff. Solutions were piloted on a small scale and then expanded strategically, supported by knowledge-sharing initiatives such as the Justice Digital Transformation Forum. Overall, AI innovations have transformed operations, improved efficiency, fostered a culture of innovation, enhanced accessibility, and strengthened transparency and public trust in the justice system.",National,Spain,ES,Dirección General de Transformación Digital de la Administración de Justicia,Central Government,General public services,General public services n.e.c.,Implemented,2024,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,Self-reporting tool,Learning,Machine learning,,,,,,Yes,,,,,"Docker All services docker.com
Kubernetes All services kubernetes.io
Python All services python.org
Mistral Chatbot, easy reading, plain language, document summarization mistral.ai
Opus-MT Translation Helsinki-NLP on Hugging Face
EuroLLM Translation eurollm.io
BERT Document classification Hugging Face BERT
Whisper (OpenAI) Transcription openai.com/whisper
spaCy Translation (for linguistic processing) / all (for lemmatization) spacy.io
Stanza Translation stanza.stanford.edu
PostgreSQL All services postgresql.org
FastAPI All services fastapi.tiangolo.com","Access to the IA Services website (designed solely to demonstrate its functionality to technical staff), which is only available once logged in within the Ministry, is:
https://serviciosia.justicia.es/inicio
For access from the Red SARA network, and therefore from any public body connected to it, the ADIA portal is available:
https://adia.justicia.es/inicio",,15/09/2025,
PSTW-2639,Diia.AI: The World's First National AI Agent for Government Services,https://digitalstate.gov.ua/news/govtech/diiaai-pershyy-u-sviti-derzavnyy-ai-ahent-iakyy-ne-prosto-konsultuye-a-nadaye-posluhy-iak-pratsiuye-shtuchnyy-intelekt-na-portali,"On September 1, 2025, Ukraine became the first country in the world to introduce an AI assistant for government services via its Diia portal. Announced by Digital Transformation Minister Mykhailo Fedorov on Telegram, the AI tool is currently in open beta testing. Designed to enhance convenience and efficiency, it guides users through accessing public services, recommends the most suitable options based on their personal situations, and can even provide vital personal data—such as insurance records—within the chat interface.",National,Ukraine,UA,KitSoft,Non-governmental,General public services,General public services n.e.c.,In development,2025,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x, ,,,,,,,,,,,,,Self-reporting tool,Learning,Machine learning,Generative AI,,,virtual assistant,GovTech,,,Yes,Kitsoft,,,,,08/09/2025,
PSTW-2640,Digital Management Platform for Public Administrations Sedipualb@,https://www.eipa.eu/epsa/sedipualb-public-digital-administrative-management-platform/,"SEDIPUALB@ is a digital platform created by the Provincial Council of Albacete to enable fully digital administrative management for municipalities. Initially launched to serve local governments within the province, it provides a shared, open, and interoperable system that simplifies administrative processes and eliminates barriers such as licensing costs or dependence on political cycles. Delivered as a Software-as-a-Service (SaaS) solution, the platform is built on open technologies and deployed in the cloud, ensuring scalability, flexibility, and cost-efficiency. Albacete became the only province in Spain where all municipalities adopted a unified digital management platform. Since then, SEDIPUALB@ has expanded well beyond its original scope. Today, more than 300 public entities—including municipalities, consortia, and universities across seven autonomous regions—use the system. It supports over a million citizens and thousands of concurrent users daily. Governance is collaborative, with technical, legal, and administrative bodies advising on improvements, while costs are distributed among participants according to usage. This model ensures both sustainability and transparency, turning a local project into a national benchmark for digital public administration.",Local,Spain,ES,Provincial Council of Albacete (Diputación de Albacete),Local Government,General public services,General public services n.e.c.,Implemented,2014,,Internal management,Internal support processes,No,No,Other,,G2B,x,,x,x,x,x,,,,,,,,,,,,,Self-reporting tool,,,,,,,,,,,,,,,,22/09/2025,
PSTW-2641,AI for Species Protection - Detection of Illegal Online Wildlife Trade,https://showcase.ai-env.de/en/insights_and_results/d1s7z6xv0422mh248r4y1un4,"Germany’s Federal Agency for Nature Conservation, together with the AI Lab at the German Environment Agency, developed an AI-driven tool to detect illegal online trading of protected species, one of the fastest-growing environmental crimes worldwide. The system combines AI-powered image classification, rule-based text analysis, and tailored web scraping to scan thousands of online listings daily, identifying species even when disguised or misspelled. During a six-month pilot, the tool flagged over 50,000 protected animals from more than 1,250 CITES-listed species, transforming an unmanageable manual task into a scalable, data-driven process. It frees public servants from repetitive screening, allowing them to focus on high-risk cases, improving efficiency, and strengthening enforcement. Built entirely in-house with open-source technologies, the system ensures digital sovereignty, sustainability, and compliance with European interoperability standards. It has already inspired international interest, including from the Czech CITES authority, and provides a transferable model for EU-wide biodiversity protection.",National,Germany,DE,AI Lab at the German Environment Agency (UBA),Central Government,Environmental protection,Protection of biodiversity and landscape.,Pilot,2024,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2B,x,,,x,x,x,,,,,,,,,,,,,Self-reporting tool,Learning,Machine learning,,,,,,,,,,,"https://arxiv.org/abs/1506.02640
https://huggingface.co/docs/transformers/v4.50.0/model_doc/grounding-dino",,,22/09/2025,
PSTW-2642,Impulsa Autónomo: Intelligent Platform to Personalise Grants and Subsidies for the Self-Employed in Galicia through AI,https://oficinadoautonomo.gal/es,"The Xunta de Galicia developed an intelligent portal and widget to simplify access to grants and subsidies for self-employed professionals. By consolidating dispersed information into a single platform, the project reduces complexity and fragmentation in accessing funding opportunities. Using Retrieval-Augmented Generation (RAG)–based Generative AI, the system integrates official databases to provide personalised recommendations, outperforming static catalogues. It was designed for rapid deployment with iterative testing and direct user pilots, ensuring relevance and usability. Early results show search time reductions of more than 60% and over 100 hours of integrated specialised advisory services. BI dashboards track consultations, usage, and real-time satisfaction, while automated responses deliver cost savings for the administration. Transparency is reinforced through personalised publication of subsidies, automatic alerts, and two-way feedback channels that enhance citizen participation. Fully aligned with European interoperability principles and Spanish regulations, the platform strengthens government-to-citizen interaction, increases public participation, and provides a replicable model for digital public services.",Regional,Spain,ES,Government of Galicia,Regional Government,Economic Affairs,Economic affairs n.e.c,Implemented,2025,,Internal management,Internal management processes,No,No,Artificial Intelligence,,G2B,x,,,x,x,x,,,,,,,,,,,,,Self-reporting tool,Learning,Machine learning,,,,,GovTech,,,Yes,Findspo (GTS-968),,,,,06/11/2025,
PSTW-2643,AI-Driven Market Surveillance to Safeguard Consumers in the Digital Single Market,https://market-surveillance-tool.ec.europa.eu/ ,"Launched in 2022 by the European Commission’s Directorate-General for Justice and Consumers (DG JUST), this project delivers an EU-wide platform that enables systematic surveillance of online marketplaces across all EU and EEA languages. By simulating human interaction to overcome obstacles like pop-ups, captchas, and hidden content, it ensures access to data that traditional crawlers cannot reach. The platform records dangerous products taken offline, fostering transparency, cross-border cooperation, and a shared view of enforcement progress. With the integration of large language models, the system significantly improves the precision of product identification, reducing false positives and enabling inspectors to focus on genuine risks. This shift accelerates enforcement cycles, supports Member States in handling the growing influx of imported parcels, and enhances consumer protection across the Single Market. Aligned with European interoperability principles and EU product-safety legislation, the platform connects seamlessly with the Safety Gate Rapid Alert System. It provides authorities with a cost-effective, centralised, and secure service that strengthens regulatory enforcement while generating valuable insights for future EU policy-making.",Across Countries,European Union,UE,"DG JUST, B.4",European Institution/Agency,General public services,General public services n.e.c.,Implemented,2022,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,x,,x,,,,,Self-reporting tool,Learning,Machine learning,,,,,,Yes,,,,,,,,22/09/2025,
PSTW-2645,The Responsive PIAO: An AI-Enabled Model for Proactive and Continuous Skill Development,https://www.giustizia.it/cmsresources/cms/documents/PIAO_20252027_1.pdf,"Launched by LepidaSCpA in collaboration with the Italian public administration, the project introduces a strategic, data-driven approach to staff training, aligning professional development directly with the organisational objectives set out in the Piano integrato di attività e organizzazione (PIAO). Using an iterative Plan-Do-Check-Act cycle, it optimises training investment by mapping identified needs to existing courses on national platforms, ensuring both efficiency and value for money. Generative AI models, employed under human supervision, supported the design and analysis of tools such as the “interests and perceived gaps questionnaire”, which improved communication between management and employees and fostered organisational trust. The pilot phase recorded high levels of user satisfaction, validating the methodology’s potential to shift training strategies from intuition to evidence-based planning. Fully aligned with the European Interoperability Framework, the project demonstrates legal, organisational, semantic, and technical interoperability. It enhances transparency by creating a structured channel for employee feedback and by making its standardised training course index publicly available, offering a replicable model for other administrations.",Local,Italy,IT,Lepida SCpA,Local Government,General public services,General public services n.e.c.,In development,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,x,,,,,Self-reporting tool,Learning,Machine learning,Generative AI,,,,,,,,,,,,,22/09/2025,
PSTW-2646,GREEN-LOG Last-Mile Digital Control Tower: An AI-Driven Platform for Real-Time Optimisation and Sustainable Urban Logistics,https://civitas.eu/cities/athens,"The GREEN-LOG Last-Mile Digital Control Tower (DCT), developed as part of the EU co-funded GREEN-LOG project, addresses the growing challenges of urban last-mile logistics driven by e-commerce expansion. The platform provides real-time monitoring of delivery assets, near real-time forecasting of transport demand and traffic conditions, and advanced data-driven analytics to enhance operational coordination among logistics service providers, city authorities, and other stakeholders. Leveraging AI-powered predictive models, dynamic multi-modal routing, and Logistics-as-a-Service (LaaS) Marketplace metrics, the system optimises fleet utilisation, reduces carbon emissions, and minimises urban congestion while improving delivery efficiency and reliability. Demonstrations across European cities, including Athens, Barcelona, and Flemish urban areas, have shown reductions in kilometres driven (-35%), travel time (-26%), and the number of stops (-12%), delivering both environmental and economic benefits. The DCT’s flexible, modular architecture enables deployment across diverse urban contexts, supports cross-modal routing, and integrates policy constraints and incentives set by local authorities. Its design aligns with the European Interoperability Framework, ensuring legal, semantic, organisational, and technical interoperability, GDPR compliance, and secure, transparent data sharing. Stakeholder engagement and continuous co-creation have driven usability and adoption, with user satisfaction reaching 90% in early 2026, demonstrating the platform’s effectiveness in supporting sustainable and efficient urban logistics.",Local,Greece,EL,Municipality of Athens,Local Government,Social protection,Social protection n.e.c.,Implemented,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2B,x,,x,x,x,x,,,,,,,,,,,,,Self-reporting tool,Learning,Machine learning,,,,,,,,,,,,,,22/09/2025,
PSTW-2647,Decision Support System Supporting Intelligent Real-time Resource Allocation of Response Teams (RART) for wildfire suppression,https://web.platform.silvanus-project.eu/,"The RART tool, developed under the SILVANUS GreenDeal project by NETCOMPANY, is a Decision Support System designed to assist fire commanders in optimising wildfire response. By dynamically allocating available firefighting resources, including aerial and ground units, based on fire spread projections, population density, and resource availability, the system enhances situational awareness and enables more effective, timely interventions, reducing the impact on citizens, property, and the environment. The tool integrates open-source population data, AI-driven fire forecasting, and a multi-objective optimisation algorithm to guide resource deployment under complex, time-sensitive conditions. Field tests in October 2024 by the Region of Sterea Ellada, Greece, and simulations in France demonstrated high user satisfaction (>90%) and confirmed the system’s effectiveness in supporting decision-making under real-life constraints.",Regional,Greece,EL,"Region of Central Greece (Perifereia Stereas Elladas), Greece",Regional Government,General public services,General public services n.e.c.,Pilot,2024,,Internal management,Internal support processes,No,No,Other,,G2B,x,,,x,x,x,,,,,,,,,,,,,Self-reporting tool,,,,,,,,,,,,,,https://web.platform.silvanus-project.eu/,,22/09/2025,
